Time,AC,Fan,Fridge,Light,TV,Washing Machine,Total_kWh
2026-09-06,0.8121227,0.7677739,0.7805939,0.80418855,0.77956206,0.8336931,4.777934
2026-09-07,4.164217,4.170175,4.025477,3.8805642,3.9389231,3.8579175,24.037273
2026-09-08,3.827461,3.8027413,3.682631,3.6435416,3.5865736,3.7650566,22.308006
2026-09-09,4.126809,4.111628,3.9115622,3.967012,3.906127,4.0308123,24.053951
2026-09-10,3.6359165,3.6191442,3.4828331,3.5904405,3.6014385,3.551205,21.480978
2026-09-11,2.080885,2.087886,1.9902837,2.1150835,2.180439,1.9995221,12.4541
2026-09-12,2.1130264,2.1061182,2.1157367,2.1159368,2.0946453,2.2209623,12.766427
2026-09-13,2.809711,2.7769694,2.718655,2.8455608,2.732832,2.9309824,16.81471
2026-09-14,3.6053753,3.5876143,3.507297,3.416181,3.448863,3.39845,20.96378
2026-09-15,3.748674,3.704444,3.6317348,3.602274,3.544275,3.6508055,21.882206
2026-09-16,4.1648607,4.1794477,3.9704075,4.0019794,3.9634504,4.07132,24.351467
2026-09-17,3.305044,3.2748704,3.0853448,3.2042563,3.1678364,3.2468603,19.284212
2026-09-18,2.2125626,2.2104108,2.1337926,2.2681403,2.3209002,2.131927,13.277735
2026-09-19,3.0585926,3.0201936,3.026509,3.0133793,2.988462,3.1119685,18.219105
2026-09-20,1.7528636,1.7522304,1.7971878,1.8436434,1.7339115,1.8638687,10.743706
2026-09-21,1.8604243,1.8752546,1.8529569,1.8641399,1.904411,1.8807584,11.237946
2026-09-22,3.814713,3.823811,3.7394211,3.6972382,3.6897578,3.7400117,22.504951
2026-09-23,2.4913683,2.4355614,2.4144182,2.4203515,2.4349494,2.5072231,14.703873
2026-09-24,2.8122277,2.7641232,2.64722,2.7592947,2.7210622,2.7895987,16.493526
2026-09-25,2.7502642,2.7131896,2.585241,2.7879622,2.7892833,2.7038703,16.329811
2026-09-26,4.102043,4.167251,4.009156,4.126564,4.0666566,4.2091846,24.680855
2026-09-27,5.1221204,5.012805,4.8235884,5.127775,5.105728,5.1511354,30.343151
2026-09-28,4.293384,4.4497895,4.2482867,4.046651,4.1282287,4.0959363,25.262278
2026-09-29,4.941209,4.927547,4.7700014,4.9625163,4.8510313,4.904546,29.35685
2026-09-30,6.9794,6.744597,6.5256157,6.9220963,6.6554217,6.743972,40.571102
2026-10-01,3.253871,3.2260795,3.0687037,3.140301,3.1150165,3.1983366,19.002308
2026-10-02,1.9473282,1.9548028,1.8608334,1.8814799,1.964297,1.8676589,11.476399
2026-10-03,1.7818154,1.822694,1.8598068,1.7726762,1.7908862,1.8553412,10.88322
2026-10-04,3.125794,3.1527445,3.0422642,3.119364,3.09797,3.2557316,18.793869
2026-10-05,2.4644997,2.4500725,2.394578,2.3835328,2.4046323,2.463439,14.560755
2026-10-06,2.0796797,2.0699573,2.0669534,2.0802476,2.0779681,2.1397989,12.514606
2026-10-07,3.1899672,3.1563082,3.0735745,3.0750735,3.0096123,3.1738937,18.678429
2026-10-08,4.1214194,4.0920577,3.9605618,3.9654233,3.9752984,3.9984543,24.113214
2026-10-09,2.6066365,2.5711913,2.5236268,2.6231265,2.6221273,2.5158033,15.462512
2026-10-10,2.555115,2.6275558,2.5796292,2.5329778,2.5573978,2.6300027,15.482678
2026-10-11,2.0276666,2.0268345,2.0564895,2.0279908,2.005966,2.0552113,12.200158
2026-10-12,1.8452834,1.8438735,1.839005,1.835089,1.8786193,1.8827527,11.124622
2026-10-13,2.507029,2.4815118,2.458545,2.4655924,2.4620657,2.5397859,14.91453
2026-10-14,2.145372,2.1451182,2.1043546,2.081289,2.1192544,2.1737297,12.769118
2026-10-15,3.5736597,3.5785143,3.4386663,3.486345,3.4647434,3.55014,21.09207
2026-10-16,2.962489,2.9267347,2.7730904,2.9636543,2.911925,2.972352,17.510246
2026-10-17,2.7942963,2.7862906,2.8011913,2.7866576,2.7003267,2.884145,16.752909
2026-10-18,5.9408894,6.008651,5.6498103,5.8808784,5.8231792,6.0304184,35.333824
2026-10-19,4.775213,4.934857,4.7630224,4.6046314,4.6447077,4.5542397,28.27667
2026-10-20,1.7895219,1.7872425,1.7820768,1.7734576,1.8275042,1.8093725,10.769176
2026-10-21,1.8028915,1.7968469,1.7845753,1.736567,1.7954284,1.8053468,10.721656
2026-10-22,2.178118,2.150939,2.0664036,2.072105,2.116691,2.1307256,12.714983
2026-10-23,1.8280859,1.8492243,1.7590401,1.7625,1.8647089,1.7473308,10.81089
2026-10-24,2.2672374,2.3145204,2.3237104,2.2435746,2.2575712,2.361559,13.768172
2026-10-25,2.2524948,2.2251785,2.2576873,2.2497494,2.1913404,2.3117151,13.488166
2026-10-26,2.462343,2.4400587,2.403135,2.3909914,2.389263,2.4658465,14.551638
2026-10-27,6.672976,6.688202,6.4137716,6.691794,6.495609,6.441773,39.40412
2026-10-28,4.2468505,4.2384496,4.0267925,4.1783724,4.0670414,4.158685,24.916191
2026-10-29,2.6050725,2.5990298,2.4836924,2.4795961,2.5137296,2.5770044,15.258124
2026-10-30,1.9970739,2.0010765,1.896614,1.9098259,2.0008326,1.9056308,11.711054
2026-10-31,2.4137788,2.4727275,2.459583,2.3967898,2.3957736,2.4989936,14.637647
2026-11-01,1.9604197,1.960489,2.027605,1.9384676,1.9310992,1.95836,11.776441
2026-11-02,3.1106443,3.0933554,3.024888,2.9953327,2.9850128,3.0621767,18.27141
2026-11-03,3.609547,3.576164,3.506138,3.508074,3.451699,3.5237238,21.175344
2026-11-04,3.3410647,3.3384948,3.2091367,3.2284799,3.195965,3.2644522,19.577593
2026-11-05,2.8846323,2.8947134,2.788342,2.7964299,2.7854154,2.8604958,17.010029
2026-11-06,1.9685147,1.9979222,1.8804749,1.8350163,1.9230226,1.8849206,11.489872
2026-11-07,2.516706,2.5131912,2.5258522,2.4779885,2.467769,2.5296502,15.031157
2026-11-08,1.7839218,1.7852407,1.8923116,1.7850637,1.7641268,1.7856435,10.796308
2026-11-09,1.9385422,1.9378629,1.9594641,1.931415,1.9594797,1.9515525,11.678316
2026-11-10,1.99323,1.9707996,1.9584202,1.937373,1.9635758,1.9427309,11.7661295
2026-11-11,2.4370563,2.4195566,2.3570971,2.3521378,2.3398325,2.4191306,14.324811
2026-11-12,2.5216608,2.5142348,2.4310634,2.4191716,2.4201694,2.510695,14.816994
2026-11-13,3.759295,3.7594728,3.6215348,3.6734538,3.6713161,3.7015712,22.186644
2026-11-14,6.8902483,6.9201665,6.5994334,6.692541,6.7012014,6.79505,40.598644
2026-11-15,6.016899,5.938594,5.6958976,5.914642,5.926805,5.938533,35.43137
2026-11-16,2.9050727,2.9371626,2.8605351,2.7881956,2.879968,2.8294697,17.200403
2026-11-17,2.0016823,1.9796205,1.9663992,1.9489161,1.9731224,1.953649,11.823389
2026-11-18,1.9924612,1.9741725,1.9450356,1.8949633,1.9296998,1.9382898,11.674622
2026-11-19,2.0278475,2.0153596,1.9597131,1.9077191,1.9573408,1.9708953,11.838875
2026-11-20,2.4486427,2.4634314,2.3302407,2.3591533,2.384631,2.4268491,14.412949
2026-11-21,3.4795988,3.4194276,3.444766,3.537258,3.3901296,3.5541391,20.825317
2026-11-22,3.9317026,3.9365373,3.8073716,3.9106386,3.862736,4.0212617,23.470247
2026-11-23,7.1911798,7.3079867,6.9518538,6.874097,6.8823895,6.6847568,41.89226
2026-11-24,6.731728,6.6962934,6.4526525,6.678888,6.5414724,6.428927,39.529964
2026-11-25,4.042658,4.041719,3.8170469,4.0045915,3.9005358,3.9367492,23.7433
2026-11-26,1.905545,1.8955944,1.8488138,1.7862568,1.8484215,1.8320937,11.116724
2026-11-27,1.8488404,1.8801056,1.7637322,1.6878655,1.7962165,1.7391139,10.715875
2026-11-28,1.905096,1.9488916,1.971531,1.879446,1.90667,1.9248565,11.53649
2026-11-29,1.5711068,1.5868291,1.6962825,1.5775958,1.5712909,1.5779004,9.581005
2026-11-30,2.7661617,2.7404957,2.7144651,2.6957529,2.6661897,2.7219427,16.305008
2026-12-01,2.5187232,2.4616354,2.4298527,2.479745,2.4347236,2.4530196,14.7777
2026-12-02,3.2614658,3.2399998,3.2009861,3.1758265,3.1462681,3.1544125,19.17896
2026-12-03,5.6918807,5.764454,5.622814,5.6396036,5.617078,5.494624,33.830456
2026-12-04,3.2297711,3.2268672,3.1034262,3.268255,3.1682436,3.188029,19.184591
2026-12-05,1.8253258,1.800688,1.8495693,1.7886466,1.7839097,1.7902039,10.838344
2026-12-06,1.6277283,1.6332918,1.7688118,1.6448817,1.6235535,1.6341827,9.93245
2026-12-07,2.0500891,2.0674803,2.1075773,2.0729394,2.0930505,2.040762,12.431898
2026-12-08,1.9184115,1.873242,1.8723729,1.8537056,1.8777728,1.8136191,11.209124
2026-12-09,2.3781414,2.335716,2.3060734,2.310286,2.275501,2.3108742,13.916593
2026-12-10,2.3080745,2.288621,2.2449067,2.2413342,2.220303,2.2683842,13.571624
2026-12-11,2.4865198,2.5086033,2.417267,2.4501653,2.4212594,2.4907444,14.774558
2026-12-12,3.6109366,3.5073245,3.488044,3.6119235,3.48554,3.6210365,21.324804
2026-12-13,4.690278,4.5819726,4.4248095,4.736398,4.6282244,4.759216,27.8209
2026-12-14,2.8010786,2.8183148,2.7455404,2.6809006,2.7712655,2.6921563,16.509256
2026-12-15,1.894464,1.8503461,1.8478626,1.8254677,1.8605392,1.7845836,11.063263
2026-12-16,2.3897943,2.353351,2.3200793,2.2800694,2.2927442,2.265521,13.901559
2026-12-17,3.3904562,3.3817632,3.2746985,3.3423994,3.2789166,3.3500068,20.01824
2026-12-18,2.972569,2.9707646,2.8740616,2.948626,2.8858426,2.985068,17.636932
2026-12-19,3.4994528,3.3710332,3.3902845,3.5253358,3.3526516,3.5314932,20.67025
2026-12-20,3.2701151,3.2219772,3.196163,3.3356144,3.2357728,3.3685634,19.628204
2026-12-21,2.5815961,2.5973597,2.5668817,2.5158505,2.545818,2.5174363,15.324943
2026-12-22,4.9898553,5.09598,4.94365,4.9786983,4.926308,4.8537173,29.78821
2026-12-23,2.6039064,2.5932322,2.5249753,2.52831,2.5108376,2.527419,15.288681
2026-12-24,1.9630809,1.9365692,1.9107456,1.8671892,1.8815466,1.8749392,11.434071
2026-12-25,1.9101876,1.9284704,1.8667581,1.8281845,1.8603767,1.8381026,11.2320795
2026-12-26,2.4091203,2.3265922,2.4144218,2.4464796,2.3548455,2.4109783,14.362438
2026-12-27,2.4049118,2.4057565,2.490734,2.4437895,2.3526232,2.435081,14.532896
2026-12-28,2.3029914,2.3050091,2.2980075,2.2685714,2.3031535,2.2778149,13.7555485
2026-12-29,2.2905498,2.2404122,2.2153952,2.235423,2.23644,2.2010007,13.41922
2026-12-30,2.0820265,2.0500746,2.0233996,1.9890726,1.9988796,1.9890771,12.13253
2026-12-31,3.8288698,3.7716308,3.6909683,3.7156677,3.6556907,3.7026868,22.365513
2027-01-01,2.2911618,2.2956011,2.2201107,2.3725142,2.3587031,2.2830095,13.821101
2027-01-02,1.7610323,1.7288637,1.8064102,1.7975469,1.7453542,1.8009301,10.640137
2027-01-03,1.7093065,1.6869348,1.8102995,1.8344831,1.7195857,1.8446559,10.605266
2027-01-04,2.6488807,2.6294868,2.5981553,2.6922748,2.5979192,2.6421912,15.808908
2027-01-05,2.1948116,2.059625,2.198333,2.216826,2.0979505,2.1592717,12.926817
2027-01-06,2.3848164,2.229555,2.2838008,2.420832,2.2945073,2.3936112,14.007122
2027-01-07,3.7377522,3.6164827,3.5587263,3.731959,3.5786667,3.689191,21.912779
2027-01-08,3.7042038,3.5558097,3.4325337,3.5657985,3.4531312,3.5064652,21.217943
2027-01-09,3.015071,2.9866047,2.9579525,3.0383942,2.9473464,2.9075437,17.852913
2027-01-10,3.8631442,3.9973023,3.928843,4.058301,3.842224,3.8433325,23.533146
2027-01-11,1.8529674,1.8240919,1.9028695,1.9253734,1.8222667,1.9227449,11.250314
2027-01-12,1.8340188,1.7387784,1.8903501,1.8796474,1.7773906,1.782572,10.902757
