Time,AC,Fan,Fridge,Light,TV,Washing Machine,Total_kWh
2026-09-06,0.7594882,0.74781597,0.7560414,0.7900857,0.7913351,0.77710277,4.6218696
2026-09-07,4.265338,3.9235563,4.076901,4.107929,4.151768,3.9322138,24.457706
2026-09-08,3.9086413,3.8051815,4.038463,3.9042628,3.9575047,3.8582697,23.472324
2026-09-09,4.03583,3.887765,4.029963,4.0091767,4.059289,3.881006,23.903028
2026-09-10,3.5162406,3.6567664,3.5515385,3.7482216,3.6301546,3.4517035,21.554625
2026-09-11,2.1616628,2.1397336,2.0772176,2.0869966,2.2351108,2.0022542,12.702976
2026-09-12,2.105342,2.0197654,2.1214983,2.1083937,2.1672385,1.9578155,12.480053
2026-09-13,2.789326,2.7064545,2.6925237,2.778686,2.8155124,2.7100785,16.49258
2026-09-14,3.7738583,3.3403625,3.695385,3.553578,3.5017378,3.3726225,21.237545
2026-09-15,3.8657238,3.8382435,3.8763967,3.8019428,3.884203,3.7509625,23.017473
2026-09-16,4.1291804,3.9510584,4.136552,4.0347285,4.1386447,3.9769697,24.367134
2026-09-17,3.0650136,3.1687303,3.0544913,3.2104979,3.1269734,2.9513872,18.577093
2026-09-18,2.2837486,2.2842906,2.2055142,2.2218847,2.372147,2.1387458,13.5063305
2026-09-19,2.929153,2.924312,2.9594078,2.992746,3.060921,2.7332122,17.599752
2026-09-20,1.9429908,1.8158816,1.9165214,1.9168072,1.9183811,1.8704162,11.380999
2026-09-21,1.952134,1.7828132,1.8770325,1.9434105,1.9730772,1.8616353,11.390102
2026-09-22,3.7831483,3.7089796,3.700229,3.6931212,3.7409222,3.593852,22.220253
2026-09-23,2.3913941,2.3165295,2.4619553,2.37416,2.3824942,2.3161578,14.242691
2026-09-24,2.6830673,2.694731,2.7026565,2.778604,2.7317412,2.4947162,16.085516
2026-09-25,2.740776,2.6936884,2.657836,2.6206958,2.7895448,2.5077224,16.010263
2026-09-26,4.101223,4.010527,4.1015816,4.186551,4.292164,3.837082,24.529129
2026-09-27,4.8215895,4.7394733,4.658096,4.8963184,4.8496227,4.757417,28.722517
2026-09-28,4.539021,4.2629266,4.346892,4.421318,4.3855796,4.1171184,26.072857
2026-09-29,5.214219,5.0318727,5.037237,5.222577,5.1289186,5.021598,30.656422
2026-09-30,6.7931323,6.4491696,6.4068685,6.4459314,6.67208,6.662659,39.42984
2026-10-01,3.0324497,3.1514475,3.0326042,3.1195898,3.1142519,2.9926577,18.443
2026-10-02,1.9450033,1.927406,1.8777755,1.8698082,2.0242238,1.795487,11.439704
2026-10-03,1.8406146,1.7534287,1.8298626,1.8323514,1.8959491,1.70466,10.856867
2026-10-04,3.1100273,3.0100439,3.0248072,3.1339543,3.1820388,3.0542598,18.515131
2026-10-05,2.5154405,2.2766597,2.4187012,2.4468908,2.5056636,2.3426058,14.505961
2026-10-06,2.1645052,2.073077,2.151352,2.1345716,2.1755352,2.1119084,12.810949
2026-10-07,3.0769176,3.0170515,3.1072204,3.1051185,3.0862648,2.9372005,18.329773
2026-10-08,3.8827846,4.0329022,3.9650397,4.100209,4.028494,3.8272216,23.83665
2026-10-09,2.5871143,2.6280482,2.6707158,2.5862088,2.7776926,2.481379,15.731159
2026-10-10,2.5664604,2.4731605,2.5719278,2.5631268,2.6804385,2.373784,15.228898
2026-10-11,2.1246045,2.0242555,2.0706577,2.1001325,2.106076,2.055151,12.480878
2026-10-12,1.9137647,1.7407755,1.8305964,1.8947802,1.9321616,1.81738,11.129458
2026-10-13,2.5823314,2.4464402,2.5991523,2.4982173,2.5814679,2.5250762,15.232685
2026-10-14,2.0869555,2.0331776,2.156134,2.0821679,2.0960932,1.9934336,12.447962
2026-10-15,3.4125378,3.4362311,3.4244833,3.5162902,3.4669433,3.2393672,20.495853
