Time,Fridge,Washing_Machine,Dishwasher,TV,Kettle,Total_kWh
2016-06-05,0.019829053,0.009813733,0.005374921,0.0067914757,0.014024538,0.05583372
2016-06-06,0.018869003,0.0129497,0.0053185993,0.007950527,0.017227216,0.062315047
2016-06-07,0.01849924,0.0050190315,0.005245343,0.008818369,0.017901907,0.055483893
2016-06-08,0.021617308,0.013119552,0.005374734,0.0072677727,0.017163558,0.06454293
2016-06-09,0.017569777,0.0066764313,0.0058405288,0.00809616,0.017821122,0.05600402
2016-06-10,0.019057823,0.00801662,0.0051937615,0.007602894,0.017305132,0.05717623
2016-06-11,0.019167295,0.013036029,0.0064042173,0.00918793,0.018196,0.06599147
2016-06-12,0.020841781,0.012372196,0.005870663,0.008623388,0.017456332,0.06516436
2016-06-13,0.01814191,0.005902768,0.004923748,0.007342928,0.017236382,0.053547736
2016-06-14,0.019160977,0.006110231,0.004675899,0.006363963,0.01719276,0.053503826
2016-06-15,0.018870637,0.007397161,0.0052223494,0.006933345,0.016941695,0.05536519
2016-06-16,0.019285029,0.0117903175,0.0056204386,0.007610837,0.01685205,0.061158672
2016-06-17,0.016486328,0.007111994,0.006026041,0.008215904,0.017790869,0.05563114
2016-06-18,0.018799772,0.016556371,0.006199491,0.009297361,0.018006016,0.06885901
2016-06-19,0.019830802,0.008745022,0.0058005615,0.008567397,0.017537275,0.060481057
2016-06-20,0.019782826,0.009709562,0.005161217,0.0072353906,0.017182518,0.059071515
2016-06-21,0.017155947,0.007903422,0.0055717714,0.008193206,0.017692924,0.05651727
2016-06-22,0.01835611,0.0095629115,0.0059084687,0.008531672,0.017390847,0.05975001
2016-06-23,0.0151327485,0.006574302,0.0043697148,0.007775736,0.01728228,0.05113478
2016-06-24,0.0148863,0.0048693386,0.004641583,0.0068173846,0.016439723,0.04765433
2016-06-25,0.018808594,0.010134882,0.0056367884,0.008047581,0.017420901,0.060048744
2016-06-26,0.02068035,0.009743382,0.005770168,0.007946998,0.017196674,0.06133757
2016-06-27,0.017671565,0.008591966,0.0048880787,0.0073860274,0.017214065,0.055751704
2016-06-28,0.0183208,0.009299253,0.005241673,0.007302936,0.01739949,0.057564154
2016-06-29,0.01980774,0.011128195,0.005939125,0.0102887135,0.017421966,0.06458574
2016-06-30,0.019208448,0.013066018,0.0063746353,0.01085591,0.017878309,0.06738332
2016-07-01,0.016531054,0.005471261,0.0053653116,0.008321776,0.019386131,0.055075534
2016-07-02,0.013817599,0.0025322495,0.0021363143,0.00451061,0.020428872,0.043425642
2016-07-03,0.0108557055,0.0067639397,0.0012404008,0.0025473752,0.016655969,0.038063392
2016-07-04,0.01709067,0.010895501,0.0050841733,0.005858825,0.017622218,0.056551386
